country,chocolate_consumption, coffee_consumption, nobel_laureates
Australia,4.8,2.6,12
Austria,8.5,5.5,21
Belgium,6.4,4.9,10
Brazil,1.2,4.8,0
Canada,3.9,3.4,24
China,0.7,,9
Croatia,6.6,3.8,3
Denmark,6.9,5.3,14
Estonia,8.8,4.2,0
Finland,7.4,9.6,5
France,3.4,3.2,63
Germany,11.1,5.2,108
Greece,2.5,2.4,2
Hungary,2.9,3.1,13
Ireland,8.8,,7
Italy,3.1,3.4,20
Japan,1.8,1.5,27
The Netherlands,4.5,6.7,20
Norway,9.2,7.2,13
Poland,2.2,3.1,12
Portugal,3.6,2.6,2
Romania,3.6,1.9,4
Spain,4.5,3.0,8
Sweden,4.4,,30
Switzerland,10.3,3.9,26
UK,8.1,1.7,133
USA,9.1,4.4,383
