herkogamy,distance2hetero,admixture_proportion
1.25,44.0889620840081,0.0264719376051384
0.75,29.8427346729726,0.0328894736842105
2.5,25.3859043180583,0.0894757102986623
1,30.1499509090508,0.00418329858936367
0,32.3245356142,0.00414016334826301
0,32.0604851895147,0.00331791205196505
0,30.7548706581726,0.00343878954607978
0,19.8828556977111,0.0485503047471886
1,21.1393256490148,0.0507562520768794
0.75,20.4925120139245,0.0364724864130435
0,19.8559777024648,0.0385325453551574
0,15.0228019237985,0.0339889158516038
0,16.6471074239299,0.0333294456932016
1.5,14.913615448765,0.035753200762735
1,14.8130246302694,0.0337736634075307
0.5,14.5195861042026,0.0380159494306765
1.25,37.0009075694844,0.0046185824540472
0,34.3308280454955,0.00462997431411235
0,37.4831341414526,0.00445172730733166
0,29.1721626561263,0.0041040825314131
1,34.6865048773137,0.0329880988645077
0,36.6878463858156,0.0319680528549625
0.5,37.2422421385767,0.0286707028165307
0.75,32.9775868243677,0.03316815605586
0,30.7921661968905,0.032955290831764
0.25,29.7870289207267,0.0328952164720831
0,29.6496521703823,0.0310215166074786
0,28.5401826535664,0.00201970716556977
0.5,26.0221928354186,0.0025811823480433
