admixture_proportion,herkogamy,protandry,petal_area,distance2hetero,fl_1_herkogamy,fl_2_herkogamy
0.0264719376051384,1.25,0,0.1585,44.0889620840081,1,1.5
0.0328894736842105,0.75,0,0.2375,29.8427346729726,1,0.5
0.0894757102986623,2.5,1,0.2475,25.3859043180583,4,1
0.00418329858936367,1,0,0.2485,30.1499509090508,2,0
0.00414016334826301,0,0,0.206,32.3245356142,0,0
0.00331791205196505,0,0,0.3285,32.0604851895147,0,0
0.00343878954607978,0,0,0.2305,30.7548706581726,0,0
0.0485503047471886,0,0,0.2275,19.8828556977111,0,0
0.0507562520768794,1,0.5,0.1845,21.1393256490148,1,1
0.0364724864130435,0.75,0,0.318,20.4925120139245,0.5,1
0.0385325453551574,0,0,0.148,19.8559777024648,0,0
0.0339889158516038,0,1,0.236,15.0228019237985,0,0
0.0333294456932016,0,0.5,0.2125,16.6471074239299,0,0
0.035753200762735,1.5,0.5,0.4035,14.913615448765,2,1
0.0337736634075307,1,0.5,0.32,14.8130246302694,2,0
0.0380159494306765,0.5,0,0.395,14.5195861042026,0,1
0.0046185824540472,1.25,0,0.311,37.0009075694844,2,0.5
0.00462997431411235,0,0,0.198,34.3308280454955,0,0
0.00445172730733166,0,0,0.365666666666667,37.4831341414526,0,0
0.0041040825314131,0,0,0.2665,29.1721626561263,0,0
0.0329880988645077,1,1,0.291,34.6865048773137,1,1
0.0319680528549625,0,1,0.2005,36.6878463858156,0,0
0.0286707028165307,0.5,1,0.419,37.2422421385767,0,1
0.03316815605586,0.75,0,0.3075,32.9775868243677,1,0.5
0.032955290831764,0,1.5,0.5235,30.7921661968905,0,0
0.0328952164720831,0.25,1.5,0.247,29.7870289207267,0,0.5
0.0310215166074786,0,1.5,0.33,29.6496521703823,0,0
0.00201970716556977,0,0,0.1965,28.5401826535664,0,0
0.0025811823480433,0.5,0,0.242,26.0221928354186,0.5,NA
0.0021109183190595,NA,NA,NA,29.196160238798,NA,NA
